league,club,club_tm_id,target_club_id,player,player_tm_id,dob,age,position,shirt_number,joined,contract_until,nationality,identity_search,profile_complete,disposition,native_create_ready,reason,source,source_sha256,snapshot_date
BEL1,Club Brügge,2282,458756,Gianluca Okon-Engstler,1334900,2009-01-24,17,Defensives Mittelfeld,86,2026-07-01,2029-06-30,Italien Australien,POSSIBLE_NATIVE_CANDIDATE,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12
BEL1,KRC Genk,1184,458768,Elie Mbavu,1232104,2009-10-20,16,Innenverteidiger,73,2026-07-01,2028-06-30,Belgien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/krc-genk/kader/verein/1184/saison_id/2026/plus/1,85979abe0c47d79971cc0cee642e1248d1cad9da00ea0a7a7add7591bfc915c0,2026-09-12
BEL1,KV Kortrijk,601,458781,Guust Lamerand,1456177,2008-03-21,18,Linker Verteidiger,45,2026-08-07,2029-06-30,Belgien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/kv-kortrijk/kader/verein/601/saison_id/2026/plus/1,a4999f54d8da64602d94dda7998adfe30af76e24e0c684550e581e845d6cfc0c,2026-09-12
BEL1,KV Mechelen,354,458787,Amine Ouahabi,1269453,2008-07-04,18,Zentrales Mittelfeld,40,2025-07-01,2028-06-30,Marokko Belgien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12
BEL1,KV Mechelen,354,458787,Axel Willockx,1192697,2007-02-07,19,Torwart,32,2025-07-01,2027-06-30,Belgien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12
BEL1,KVC Westerlo,968,458763,Philippe Bibout,1577556,2008-06-01,18,Zentrales Mittelfeld,71,2026-08-05,,Kamerun,VERIFIED_NONMATCH,NO,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,2026-09-12
BEL1,Lommel SK,5026,458783,Alexander Reumers,1072029,2007-04-27,19,Mittelstürmer,73,2025-07-10,2028-06-30,Belgien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1,9ff756a9f65fb1a83d753e141d2c89530fd8a9311bba2096f5846c718c381d8a,2026-09-12
BEL1,Royal Antwerpen FC,1096,458785,Jeff Godelaine,1184725,2007-04-26,19,Mittelstürmer,29,2026-07-01,2029-06-30,Belgien,UNVERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
BEL1,Royal Antwerpen FC,1096,458785,Lowie Piselé,1191562,2009-09-17,16,Torwart,61,2026-07-01,2027-06-30,Belgien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
BEL1,Royal Antwerpen FC,1096,458785,Luca Schelfhout,1318279,2007-09-17,18,Innenverteidiger,28,2026-07-31,2030-06-30,Belgien,VERIFIED_NONMATCH,YES,ACADEMY_EDGE_CASE_GOOD_ENOUGH,NO,Under-20 source roster entry; retain as explicit coverage edge case unless promoted to creation scope,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
